Category,Question,Answer
market information,asked about market rate of onion ?,market rate of onion  - average-    925 rs/qtl
plant protection & nourishment,farmer asked about fertilizer spray for grapes ?,fertilizer spray for grapes :- spray 00:52:34 4 gm / 1 liter water .
plant protection & nourishment,fertilizer dose for sugarcane ratoon sugarcane ?,application of urea 108 kg +ssp 150 kg +mop 40 kg / acre
plant protection & nourishment,fertilizer spray for growth of onion?,spray 19 19 19 40 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
plant protection & nourishment,fertilizer spray for growth ?,spray 00 52 34  60 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,farmer asked about fertilizer dose for wheat ?,fertilizer dose for wheat-spray 00:52:34 60 gm + microlla  30 ml /15 liters of water.
plant protection & nourishment,farmer asked about fertilizer spray on onion ?,spray 00:52:34-60 gm + microlla 30 ml + bavistin 30 gm/15 liter of water.
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,brinjal growth,brinjal growth =- spray 0  52  34  + tata bahar
plant protection & nourishment,asked about growth spray?,growth spray=spray mikrola 30 mili+0.52.34 60 gram/15 li water.
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,flower drop?,application of boron 500 gm  +calcium nitrate 5 kg through drip
plant protection & nourishment,"farmer ask about grape research station manjari,pune?","icar-national research centre for grapesp.b. no. no. 3, p.o. manjari farm, solapur roadpune – 412307, maharashtra, indiaphone: 91-20-26956000 (epabx)fax: 91-20-26956099email: director.nrcg@icar.gov.in"
plant protection & nourishment,asked about fertilizer spray on onion ?,12 61 00 -60 gm + microla 30 ml + m-45 -40 gm / 15 litre of water .
plant protection & nourishment,farmer asked about fertilizer dose for onion ?,fertilizer dose for onion :- 00 52 34  60 gm / 15 liteer of water
plant protection & nourishment,farmer asked about market rate of maize ?,market rate of maize-lasalgaon market- 1580-1700 rs/qtl
plant protection & nourishment,asked kadaknath poultry company ?,kadaknath no1 chicken  -contact number :-088927 24446
weather,farmer asking about weather forecast of tahsil ?,weather in trimbakeshwar tahsil is clear  and no possibility of rainfall.
plant protection & nourishment,farmer asked about market rate of maize ?,market rate  of  maize    -     1629-1736 qunital/ rs
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about increasing flower in brinjal ?,for flowering spray boom flower 30 ml /15 lit of water. (nitrobenzine 20%)devi crop science
plant protection & nourishment,fertilizer spray on gram ?,spray 12 61 00 40 60 gm + microlla  30 ml /15 liters of water
plant protection & nourishment,attack of leaf miner on tomato?,spray politrin-c 35 ml/15 liter water
plant protection & nourishment,asked about contact number of animal husbandry department nashik ?,"government of maharashtra, animal husbandry department nashik -  0253- 2579606"
plant protection & nourishment,attack of sucking pest on chapan kaddu ?,spray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
plant protection & nourishment,asked about control fruit cracking in pomegranate ?,"you can drenching calcium, nitrate,boron -500 gm / acre through drip"
plant protection & nourishment,flower drop in mango,flower drop in mango - spray planofix
plant protection & nourishment,fertilizer spray for growth on wheat  ?,spray 19 19 19  75   gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about bahar treatment in  guava,"thinking about the weather, water supply, pest infestation, it is appropriate time to take mrug bahar  in guava. mugh bahar has to stop water in april-may. due to the scarcity of water in the summer it was convenient for the garden and due to the decomposant fruits of deer beaar are ready in december-january, the quality of the fruit is good. keeping the tide, 40-50 percent pollen will be given to the trees, so that the quality of the soil should be stressed for 30 to 60 days. plow the plow in the time of tension of the trees. 5 percent urea or 1.5 to 2 ppm for naphthalene spray ethyl.breaking the stress,"
plant protection & nourishment,blight attack ?,spray kavach  30 gm/15 liter of water(chlorothalonil 75 % wp)-syngenta
plant protection & nourishment,attack of sucking pest ?,spray actra 5 gm /15 liter of water.
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,farmer  asked about mango inflorescence protection ?,mango inflorescence protection -spray actra 4gm/15 liter of water(thiomithoxom 25%)-syngenta.
plant protection & nourishment,fertiliser dose for cucumber ?,fertiliser dose for cucumber = spray 19:19:19 3 gram / 1 liter of water
plant protection & nourishment,asking about fertiliser spray for  onion ?,fertiliser spray for  onion -  19 19 19 60 gm  + microlla 30 ml + bavistin 30 gm/15 liter water
plant protection & nourishment,farmer asked about varieties of bengal gram ?,"varieties of bengal gram - vijay ,digvijay, vishal, vikas, jaki-9218, phule g-12"
plant protection & nourishment,fertilizer dose for sugarcane ratoon sugarcane ?,fertilizer dose for sugarcane ratoon sugarcane : application of urea 108 kg +ssp 150 kg +mop 40 kg / acre
plant protection & nourishment,farmer asked about attack of aphids pomegranate ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%).
plant protection & nourishment,asking about market rate of onion?,"soyabeen market rate of  onion: 200,601, 511 rupees/qtl."
plant protection & nourishment,weed management in onion ?,spray goal 20 ml / 15 liters of water 21 days after transplanting
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about market rate of onion?,market rate of onion-minimum-    100      maximum-  581               average- 470         ru/qtl.
plant protection & nourishment,"asking about  national research centre for grapes , manjiri farm -pune","national research centre for grapes , manjiri farm -pune - 020 2695 6000"
plant protection & nourishment,asking about controll of blight attack ?,spray thiomithoxom 25% 5 gm/15 liter of water
plant protection & nourishment,aphids in pomegranate,aphids in pomegranate  -  spray bio 303
plant protection & nourishment,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week-
plant protection & nourishment,fertilizer spray for growth ?,spray isabion 30 ml /15 liters of water syngenta
plant protection & nourishment,attack of thrips?,spray /super confidor 07 ml /15 litar water (imidacloprid 17.8 %)
plant protection & nourishment,regarding cultivation of sandalwood?,"part used: heart woodcultivation:soil and climateit grows well in red sandy loam soil. crop requires humid & hot climate.nursery raising and plantingtwo type of seed beds are used to raise sandal seedlings: sunken and raised beds.both of them perform equally well under different climatic conditions.manures, fertilisers and pesticidesthe medicinal plants have to be grown without chemical fertilizers and use ofpesticides. organic manures like, farm yard manure (fym), vermi-compost, greenmanure etc. may be used as per requirement of the species. to prevent diseases,bio-pesticides could be prepared (either single or mixture) from neem (kernel, seeds& leaves), chitrakmool, dhatura, cow's urine etc."
plant protection & nourishment,fungal attack ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
plant protection & nourishment,asked about flower drops of mango?,spray calsibor 30 gm /15 liters of water.
plant protection & nourishment,asked about  wilt attack on groundnut ?,drenching blue copper -30 gm/15 lit water.(copper oxychloride 50% wp) syngenta
plant protection & nourishment,powdery mildew on mango ?,spray cabriotop 30 gm/15 liter of water-metiram (pyraclostrobin 50% + metiram 55%)basf
plant protection & nourishment,fertilizer spray for growth of coriander ?,growth of coriander  to spray 19 19 19 40 gm + microlla 30 ml  /15 liters of water
plant protection & nourishment,asked about attack aphids on maize?,attack aphids on maize: spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,asking about spray for flowering ?,spray boom flower 30 ml/15 lit of water. (nitrobenzine 20 %)devi crop science
plant protection & nourishment,asked about attack aphids on onion?,attack aphids on onion: bio 303 -15 ml / 15 liters of water daman
plant protection & nourishment,farmer asked about spraying for growth on  brinjal ?,spraying for growth on  brinjal- 19:19:19- 60 gm  + microlla - 30 ml /15 liter water
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about fruit drop in almond  crop?,drenching boron 100gram  +calcium nitrate 100 gm /15 liters of water
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,fertilizer spray for growth?,spray 19:19:19  60gm  + microlla 30ml + humic acid 30ml/15lit water.
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply d a p - 50 kg + sulphur 15 kg / acre
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about nutrient for pomegranate ?,"nutrient for pomegranate - spray 00 00 50 , 100 gm  / 15 liter water"
plant protection & nourishment,asked about nutrient for pomegranate ?,"nutrient for pomegranate - spray 00 00 50 , 100 gm  / 15 liter water"
plant protection & nourishment,preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
plant protection & nourishment,fungal attack ?,spray ridomil gold 30 gm / 15 liters of water. syngenta
plant protection & nourishment,attack of  caterpillar ?,spray neem ark 15 ml/15 liter water.
plant protection & nourishment,asked about fertilizer dose for onion ?,fertilizer dose for onion  -  spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,fert.dose in onion,fert.dose in onion -  apply s s p - 50 kg + m o p - 50 kg / acre
plant protection & nourishment,asked about spraying for growth on brinjal?,spray 19:19:19 60 gm  + microlla 30 ml + bavistin 30 gm/15 liter water
plant protection & nourishment,fruit cracking ?,spray plano fix 4 ml/15 lit of water.
plant protection & nourishment,asked about weed management ?,"at this stage of crop, herbicides application is not recommended, so carry out hand weeding ."
plant protection & nourishment,asked about spraying for increasing bulb size of onion?,spraying for increasing bulb size of onion- spray 00:52:34 60 gram + redomil gold 30 gram / 15 litre of water
plant protection & nourishment,asking about attack of caterpillar on brinjal ?,spray fame 5ml/15 liter of water(flubendiamide 480sc)bayer
plant protection & nourishment,fertilizer spray on tomato ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about flower drop in drum stick ?,spray calsibor 30 gm /15 liters of water
plant protection & nourishment,attack of aphids wheat ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about attack of aphids on onion  ?,spray pride 8 gm in 15 litre of water
plant protection & nourishment,white fly in brinjal,white fly in brinjal -= spray oberon 10 ml / 15 lit
plant protection & nourishment,attack of sucking pest on onion ?,spray rijent (fipronil  5 sc )20 ml/15 liter water.
plant protection & nourishment,asked about fertilizer dose for onion ?,spray taba 1 ml/1 liter water
plant protection & nourishment,attack of leaf eating caterpillar ?,spray takumi 7 gm /15 liter water (flubendamide 20%wgd)-tata rallis india
plant protection & nourishment,for flowering in rose ?,spray boom flower 30 ml/15 lit of water. (nitrobenzine 20 %)devi crop science
plant protection & nourishment,fertilizer spray for growth  wheat?,spray 19 19 19 40 gm + microlla 30 ml  /15 liters of water
plant protection & nourishment,attack of white fly on brinjal ?,white fly on brinjal :- spray pegasus 25 gm/ 15 lit of water (diafenthiuron50 wp)   .
plant protection & nourishment,attack of thrips on brinjal?,thrips on brinjal :- bio 303 - 22 ml / 15 liters of water .
plant protection & nourishment,fruit cracking in pomegranate ?,fruit cracking in pomegranate - . application of boron 500 gm  +calcium nitrate 500 gm through drip
plant protection & nourishment,attack of white fly on brinjal  ?,spray polo 12 gm/ 15 lit of water (diafenthiuron)  .
plant protection & nourishment,fertilizer spray for growth onion ?,spray 12 61 00 40 50 gm + microlla  30 ml /15 liters of water
plant protection & nourishment,fertilizer spray on pomegranate?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about spray for flower drop in pomemranate ?,"flower drop control-spray plano fix 4 ml/15 lit of water,."
plant protection & nourishment,asked about fertilizer dose for onion ?,spray 00:52:34 60 gm  /15 liters of water
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,farmer asked about control gummosis on orange ?,scratch gummosis and take a potassium permanganate1% for wash and apply bordo mixture
plant protection & nourishment,attack of aphids ?,spray alika 8 ml / 15 lit of water  (thiamethoxam (12.6%) + lambdacyhalothrin (9.5%) zc )syngenta
plant protection & nourishment,asked about ataack of white fly on cauliflower?,spray ullala 8 gm/15 lit of water.(flonicamid)-upl
plant protection & nourishment,attack of sucking pest ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,fertilizer application for growth through drip ?,application 12 61 00 2 kg + humic acid 400 ml + microlla 400 ml /200 liters of water
plant protection & nourishment,"farmer asked about contact number of kvk ,nashik ?","contact number of kvk ,nashik- mobile no.:: 0253-2230698"
plant protection & nourishment,farmer asked about fertilizer doses for pomegranate?,fertilizer doses for pomegranate-apply of 00:00:50 3kg/acre through drip.
plant protection & nourishment,attack of sucking pest ?,spray bio 303 - 20 ml / 15 liters of water
plant protection & nourishment,asked about fertilizer spray for growth onion?,fertilizer spray for growth onion:- spray 13 40 13  40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about attack leaf miner on brinjal?,attack leaf miner on brinjal: spray politrin-c 30 ml/15 liter water
plant protection & nourishment,farmer asked about control of attack of aphids on onion ?,spray confidor 10 ml /super confidor 10 ml /15 liter water (imidacloprid 17.8 %)
plant protection & nourishment,farmer askingh about fruit cracking  on pomogranate ?,fruit cracking  on pomogranate : application of boron 1 kg +calcium nitrate 2 kg through drip
plant protection & nourishment,bhendi cultivation ?,"in kharif season, the yield of 8 kg of hectare and 10 kg of seed in the summer is enough. pour 3g of thyme before sowing to 1 kg seed"
plant protection & nourishment,asked about attack of aphids on brinjal ?,spray actra 5 gm + bavistin- 30 gram /15 liter of water(thiomithoxom 25%)
plant protection & nourishment,fertilizer application for sponge gourd ?,spray 2% dap 200 gm/15 lit of water.
plant protection & nourishment,asked about flowering spray on gram ?,spray tata bahaar 30 ml+ microlla 30 ml in 15 litre of water
plant protection & nourishment,asked about fertilizer spray on onion ?,fertilizer spray on onion : 12 :61:00  60 gram / 15 liter water.
plant protection & nourishment,farmer ask about fertilizer spray for growth on spongegourd?,spray for growth on spongegourd-spray 19 19 19-60gm+ microlla 30 ml /15 liters of water
plant protection & nourishment,farmer asked about fertilizer on bottle gourd ?,fertilizer on bottle gourd  :- spray 19 19 19 60 gm + microlla 30 ml / 15 liter of water
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,asking about yellowing of jasmine?,yellowing of jasmine: spray microla 30 ml + m 45 30 gm/15 liter water
plant protection & nourishment,attack of aphids on onion  ?,spray confidor 10 ml /super confidor 10 ml /15 litar water (imidacloprid 17.8 %)
plant protection & nourishment,attack of thrips on brinjal?,spray soloman  10 ml/15 liter of water
plant protection & nourishment,asking about attack of thrips ?,spray lancer gold 51.8 sp 30 gm+m 45 30 gm /15 liters of water -(acephate 50 + imidacloprid 1.8 sp) upl
plant protection & nourishment,farmer asked about fertiliser dose for brinjal ?,fertiliser dose for brinjal- 12:61:00 - 60 gm  + microlla - 30 ml /15 liter water
plant protection & nourishment,asked about controll scale inscect on sugarcane  ?,spray admire 5 gm /15 liter water bayer crop science
plant protection & nourishment,asked about brinjal flowering ?,brinjal flowering - spray boom flower 30 ml/15 lit of water. (nitrobenzine 20 %)devi crop science
plant protection & nourishment,farmer asked about market rate of onion?,market rate of onion - lasalgaon-niphad-201-668 rs /qt
plant protection & nourishment,farmer want to know information about increasing flowering?,spray boom flower 30 ml(devicropscience)/15 liter of water.
plant protection & nourishment,farmer asking about cracking of pomogranate fruits ?,cracking of pomogranate fruits : spray boron 1.5 +calscium 1 gm / litre of water
plant protection & nourishment,asked about fertilizer dose of pomegranate?,spray potasium shonite 75 gm in 15 liter water
plant protection & nourishment,farmer ask about attack of sucking pest on sorghum?,sucking pest on sorghum-spray alika 8 ml / 15 lit of water  (thiamethoxam (12.6%) + lambdacyhalothrin (9.5%) zc )syngenta
plant protection & nourishment,fertilizer dose for brinjal ?,fertilizer dose for brinjal 12:61:00 = 60 gram / 15 liter of water.
plant protection & nourishment,asking about fertiliser dose for fodder crop ?,fertiliser dose for fodder crop -  19 19 19 60 gm  + microlla 30 ml / 15  liter water
plant protection & nourishment,farmer asked about attack of girdle beetle on grape ?,"control of grape girdle beetle pest - to remove all the weed bark in the garden, as well as injection of diclorovos pesticides in the hole."
plant protection & nourishment,blight attack on onion  ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
plant protection & nourishment,attack  stem borer?,spray ( dichlorvos 76% ec) 20 ml / 15 liters of water
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,attack of aphids on coriander?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,farmer asked about fertilizer spray for growth on wheat ?,spray 12:61:00- 60 gm + microlla  30 ml /15 liters of water.
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about fungal attack on wheat?,fungal attack on wheat:  spray bavistine 30gm/15lit of water.
plant protection & nourishment,attack of leaf eating caterpillar  on onion ?,control of attack of leaf eating caterpillar  on onion-spray chloropyriphos 30 ml/15 lit of water.
plant protection & nourishment,fertilizer spray on pomogranate ?,fertilizer spray on pomogranate   - spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,wilt attack  ?,spray m-45 30 gm /15 liter water.(mancozeb) indofil
plant protection & nourishment,attack of sucking pest ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,farmer asking about increase size of onion ?,spray 00 52 34 60 gm/15 litre water
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,fruit drop ? ?? ??,spray plano fix 5ml/15 lit of water.(naa) bayer
plant protection & nourishment,farmer asked about fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about nutrient for onion ?,"nutrient for onion  - spray 19 19 19 , 60 gm / 15 liter water"
plant protection & nourishment,asked about nutrient management in pomegranate ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about nutrient for onion ?,"nutrient for onion - spray 00 52 34 , 60 gm + microla 30 ml / 15 liter water"
plant protection & nourishment,farmer asked about market rate of  soybean ?,market rate of soybean  -3000 3500  rs/qtl
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asking about weedicide effect on bottle gourd crop?,"if the effect of weedicide on cotton crop is seen, spray the taba  tonic in 30 ml / 15 liters of water."
plant protection & nourishment,mango for flowering ?,mango for flowering-spray boom flower 30 ml/15 lit of water. (nitrobenzine 20%).
plant protection & nourishment,attack of aphids in  sponge gourd ?,spray confidor 10 ml /super confidor 10 ml /15 litar water (imidacloprid 17.8 %)
plant protection & nourishment,asked about attack of catterpiler on onion ?,spray proclaim 5gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
plant protection & nourishment,fungal attack ?,spray bavistine 30gm/15lit of water. (carbendazim 50% wp ) basf
plant protection & nourishment,control of rats on onion,application of rat kill zinc phosphide 80%
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,asked about fertilizer spray on onion ?,fertilizer spray on onion-spray 00 52 34- 60 gm /15 liter  of water.
plant protection & nourishment,farmer asked about fertilizer dose for ?,application of 10 26 26 2 bags + urea 1 bag / acre
plant protection & nourishment,asking about weed management in sorghum ?,"weed management in sorghum - spray 2,4 d amine salt 58% sl 40 ml  /15 liters of water"
plant protection & nourishment,attack of sucking pest ?,spray rogar 15ml/15 liter of water(dimethoate)
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
plant protection & nourishment,fertiliser dose for sugarcane?,apply 1 bag urea + 1 bag ssp + 1 bag mop + 10 kg magnesium suphate +   10 kg zinc sulphate +  10 kg feras sulphate + 5 kg boran + 25 kg neem cake + humic acid 3  kg/acre
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,asked about attack blight on cluster bean?,attack blight on cluster bean: spray m-45 30 gm /15 liter water.(mancozeb) indofil
plant protection & nourishment,farmer asked about control of attack of aphids on onion??,spray actra 5 gm/15 liter of water(thiomithoxom 25%).
plant protection & nourishment,fert.dose onion,fert.dose onion - s s p - 50 kg + bensalf 20 kg + m o p - 50 kg/ acre
plant protection & nourishment,farmer asked about fertilizer for tomato ?,fertilizer for tomato-spray boom flower(nitrobenzine 20 % ) - 30 ml + 12:61:00-  75 gm /15 lit of water.
plant protection & nourishment,asked about fertilizer dose of pomogranate?,fertilizer dose of pomogranate-pottasium shonite 5gram /1 litr of water.
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,flower drop in papaya ?,flower drop in papaya :- spray plano fix 5ml/15 lit of water.(naa) .
plant protection & nourishment,attack of sucking pest on cotton ?,spray actra 5 gm + m-45  30 gm /15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of catterpilar on drum stick?,spray proclaim 5gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
plant protection & nourishment,asking about fertilizer dose for wheat?,application of urea 2 bags (in 3 split doses 30 days and 60 days) + ssp- 125 kg + mop -35 kg /acre
plant protection & nourishment,fungal attack  of beans?,spray natio 06 gm/15 liter of water(tebuconyazol+trifloxystrobin) -bayer crop science
plant protection & nourishment,weed management in onion ?,spray goal 20 ml / 15 liters of water 21 days after transplanting
plant protection & nourishment,asked about sucking pest attack on onion crop ?,decis -100 4 ml+antracol  30 gm /15 liter of water(deltamethrin)-bayer
plant protection & nourishment,farmer asked about fertilizer spray for tomato ?,00 52 34    60 gram / 15 litre of water
plant protection & nourishment,farmer asked about application of amister fungicide ?,application of amister fungicide  :- spray amistar 5 ml/15 liter of water(azactrostrobin)-syngenta
plant protection & nourishment,fertiliser dose for sugarcane?,apply 1 bag urea + 1 bag ssp + 1 bag mop + 10 kg magnesium suphate +   10 kg zinc sulphate +  10 kg feras sulphate + 5 kg boran + 25 kg neem cake + humic acid 3  kg/acre
plant protection & nourishment,flower drop on mango?,spray plano fix 5ml/15 lit of water.(naa) bayer
plant protection & nourishment,asked about weed management in wheat ?,weed management in wheat - spray metsulfuron methyle 20% 8 gram/ acre / 200 liter of water
plant protection & nourishment,asked aout sucking pest attack on brinjal ?,sucking pest attack on brinjal - spray neem ark 30 ml/15 liter water.
plant protection & nourishment,attack of white fly ?,spray triazhophos 30 ml/15 liter water
plant protection & nourishment,farmer asked about flower drop  on mango ?,flower drop  on mango  - spray plano fix 4 ml/15 lit of water.(naa)
plant protection & nourishment,attack of aphid on onion ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,farmer ask about fruit cracking in tomato ?,fruit cracking in tomato-application of boron 500 gm  +calcium nitrate 500 gm through drip.
plant protection & nourishment,attack of aphids on onion ?,attack of aphids on onion - spray confidor 10 ml /super confidor 10 ml /15 litar water (imidacloprid 17.8 %)
plant protection & nourishment,farmer asking about  fertilizer spray for growth of onion  ?,f ertilizer spray for growth of onion  spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
plant protection & nourishment,attack of gram pod borer ?,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
plant protection & nourishment,fertilizer spray for growth on wheat ?,fertilizer spray for growth on wheat-spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,fungal attack on  leafy vegetable ?,spray m-45 30 gm /15 liter water.(mancozeb) indofil
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
plant protection & nourishment,asked about control rat in the field of  bengal gram ?,control rat in the field of  bengal gram - find out the live burrows and use zinc  sulphide tablets for fumigation and seal the burrows.
plant protection & nourishment,attack of white fly on brinjal ?,spray pegasus 25 gm/ 15 lit of water (diafenthiuron)  syngenta
plant protection & nourishment,fertilizer spray for growth ?,spray 19 19 19 60 gm + microlla 30 ml /15 liters of water
plant protection & nourishment,asked about caterpillar attack on gram ?,spray emamectin benzoate 8 gm 15 litre of water
plant protection & nourishment,attack of shoot borer on brinjal ?,shoot borer on brinjal  to spray triazhophos 30 ml/15 liter water
plant protection & nourishment,asked about spray on mango tree ?,spray m-45 30 gm+karate  20 mili /15 liter water.(mancozeb) indofil
plant protection & nourishment,farmer ask about fertilizer spray for growth sponge gourd?,fertilizer spray for growth sponge gourd-spray 19 19 19 60 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
plant protection & nourishment,farmer asked about weed management in onion ?,spray goal 20 ml / 15 liters of water 21 days after transplanting.
plant protection & nourishment,attack of shoot borer ?,spray tracer 3.5 ml / 15 lit of water -(spinosad 45 sc ) dow agro science
plant protection & nourishment,asking about attack of blight on mango ?,spray antracol  30 gm/15 liter of water(propineb)-bayer
plant protection & nourishment,attack of aphids on pomegranate ?,aphids on pomegranate to spray rogar 20 ml /15 liter water (dimethoate 30% ec)
plant protection & nourishment,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,attack of sucking pest  on pomegranate ?,attack of sucking pest  on pomegranate - spray  rogar 1 ml / liter water
plant protection & nourishment,attack of thrips ?,spray actra 5 gm+m 45 30 gm /15 liter of water(thiomithoxom 25%)-syngenta
plant protection & nourishment,asked about wilt attack  on pumpkin ?,wilt attack  on pumpkin = spray ridomil gold 30 gm / 15 liters of water. syngenta
plant protection & nourishment,asked about attack fungal on onion?,attack fungal on onion: spray bavistine 30gm/15lit of water.
plant protection & nourishment,fungal attack on onion ?,control of  fungal attack on onion -spray m-45 30 gm /15 liter water.(mancozeb) indofil .
plant protection & nourishment,wilt attack  ?,spray ridomil gold 30 gm / 15 liters of water. syngenta
plant protection & nourishment,farmer asking about control of termites ?,control of termites :  phorate  10kg/acre application.
