Category,Question,Answer
"	plant protection	",attack of leaf eating caterpillar on maize  ?,spray proclaim 5gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
"	plant protection	",attack of sucking pest ?,spray bavistine 30gm/15lit of water. (carbendazim 50% wp ) basf
government schemes,farmer ask about maharashtra state agricultural marketing board pune?,"maharashtra state agricultural marketing boardr-7, market yard, gultekadi, pune 411 037.maharashtra, india020 24528100, 24528200"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
market information,farmer asked about market rate of pomegranate ?,market rate of pomegranate  -5000 rs/qtl
government schemes,asked about contact number of daund agriculture officer ?,daund agriculture officer  -   02117263358
fertilizer use and availability,asked about fertilizer dose for lemon ?,13 00 45    100 gram  + actra 7 gram / 20 litre of water .
fertilizer use and availability,farmer asked about control flower drop in drumstick ?,"spray plano fix 4 ml/15 lit of water,."
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
market information,farmer asked about market rate of cabbage?,"market rate of cabbage- min.-600 rs /qtl, max.-1000rs /qtl."
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,farmer asked about fertilizer dose for brinjal ?,fertilizer dose for brinjal-application of 18:46:00--50 kg /acre
nutrient management,asked about flower dropping in drumstick ?,spray plano fix 4 ml/15 lit of water.(naa) bayer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
"	plant protection	",attack of shoot borer on maize ?,spray alika 8 ml / 15 lit of water  (thiamethoxam (12.6%) + lambdacyhalothrin (9.5%) zc )syngenta.
bio-pesticides and bio-fertilizers,fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
fertilizer use and availability,fertilizer dose?,19 19 19 60 gm  + microlla 30 ml /15 liter water
government schemes,asked about sms activation ?,your sms registration process successfully completed.
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,farmer ask about flower drop in pomegranet?,"flower drop in pomegranet-spray plano fix 4 ml/15 lit of water,."
government schemes,"agriculture department , pune?","agriculture department , pune - 26123648 , 26126150"
government schemes,farmer asked about about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
varieties,varieties of sugarcane ?,varieties of sugarcane -co-86032 co-10001 phule -265 co-94012 co-03102 co-94012
weed management,asking about weed management in maize ?,"spray 2, 4- d 40 gm 20-25 days after sowing /15 liters of wateer"
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
"	plant protection	",asked about attack of blight on pumpkin ?,blight on pumpkin to spray 12 61 00 40 60 gm + microlla  30 ml + saaf 30 gm  /15 liters of water
"	plant protection	",fertilizer spray on onion ?,spray 00 52 34 60 gm /15 lit of water.
disease management,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
disease management,asking contact no of animal husbandary department ?,contact no of animal husbandary department = 1800 233 0418
government schemes,asking about contact number for pradhanmantri crop insurance scheme ?,contact number for pradhanmantri crop insurance scheme -1800 2660 700 call on this number before 48 hours
"	plant protection	",attack of aphids ? ????,spray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
seeds and planting material,farmer asked about cultivation of custard apple ?,"because planting of custard aplle is recommended for the drought-affected area, the fruit crop can be harvested in any of the soil. even from rocky forest to sweet soil it can grow leafy trees too. as the sapphire growth progresses very slowly, these plants grow slimly in the muddy soil, in the soil, in red soil and in very wide range of soil. however, heavy, black, water-bearing alkaline lands are not suitable for this fruit tree."
fertilizer use and availability,farmer asked about fertilizer spray on onion  ?,fertilizer spray on onion=spray 00:52:34 60 gm  / 15 liter of water
bio-pesticides and bio-fertilizers,farmer asked about spray of jivamrut for drumstick ?,spray of jivamrut for drumstick- 5  liter of jivamrut / 1000 liter of water for 1 month of planting
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
vegetative propagation and tissue culture,farmer asked about varieties of lemon ?,varieties of lemon :- sai sarbati .
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
government schemes,asabout sms activation?,your sms registration process successfully completed.
"	plant protection	",asked about attack of sucking pest on drumstick,metasis stock 2 mili in 1 liter of water
disease management,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asking contact number of animal husbandary department?,the toll free number of  animal husbandary department is 1800 233 3268 .for any details about animal related schemes please contact on that number.
varieties,farmer ask aout varieties of sesame ?,varieties of sesame -phule til no-1 tapi padma jlt-408.
nutrient management,asked about flower drop in mango ?,spray plano fix 5ml/15 lit of water.(naa) bayer
weather,farmer asking about weather forecast of tahsil ?,weather in purandar tahsil is clear  and no possibility of rainfall.
government schemes,western agro seed company?,western agro seed company -7850867555
bio-pesticides and bio-fertilizers,asked about preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
disease reporting,asking about subsidy on goat farming?,"navinypuarn scheme- semi: stallfed 10 goats and 1 male goat group distribution10 + 1 goat group rates (osmanabadi / sangamneri breed per goat - rs.6000/- and male goat rs. 7000/- )project cost (rs) -rs.67000/-subsidy (per cent)- general 50%, schedule cast and schedule tribes 75 %"
market information,asked about phone no. of rahuri university?,"mahatma phule krishi vidyapeeth-rahuri,ahmednagar - 02426 243373"
government schemes,"college of agriculture, pune contact no?","address: university road,narveer tanaji wadi, shivaji nagar, ganeshkhind road, pune, maharashtra 411005phone: 020 2553 8489"
nutrient management,preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
market information,farmer asked about market rate of  flower?,"market rate of flower  -  minimum-   500, maximum-  1000 ,   rs/qtl"
market information,farmer asked about market rate cabbage?,market rate of   cabbage -         6001000           rs/quintal
seeds and planting material,farmer asked about varieties of mango ?,"varieties of mango  - hapus,keshar,ratna,sindhu, langda ."
"	plant protection	",attack of leaf eating caterpillar ?,spray proclaim 5gm/15lit of water. (emamectin benzoate 5% sg)-syngenta.
"	plant protection	",asked  about attack of sucking pest on lemon ?,spray record 10 gm or pride 10 gm / 15 lit of water
nutrient management,asked about fertilizer spray for wheat?,fertilizer spray for wheat: 12:61:00 3 kg + microlla 300 ml/acre
fertilizer use and availability,asked  about fertilizer dose on ginger?,fertilizer dose on ginger: 00:52:34 3 kg / acre
nutrient management,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
seeds and planting material,varieties of drumstick ?,varieties of drumstick  -moringa odisi pkm-1 pkm-2 co-1 sidhivinayak shevga konkan ruchira
seeds and planting material,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
"	plant protection	",asked about attack caterpillar on brinjal?,attack caterpillar on brinjal: spray chloropyriphos 30 ml/15 lit of water.
government schemes,farmer asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer .
"	plant protection	",asking about the white grub attack on sugarcane ?,the white grub attack on sugarcane -use thimate 4 kg / acre.
"	plant protection	",asked about mango inflorescence protection ?,at new leaf bearing spray decis 2.8 9 ml. at inflorescence karate 6 ml after 15 days spray confidor 3 ml then after 15 days  actra 1 gm after 15 days rogor 10 ml or karate 6 ml/ 10 liter water.
landscaping,farmer  asked about plant  protection  in okra crop .?,excite @15  mili  + fighter  15  mili  /pamp spray on crop.
seeds and planting material,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
training and exposure visits,farmer asked about market rate of grapes ?,"national research centre for grapes , manjiri farm -pune - 020 2695 6000"
"	plant protection	",asking about control of blight attack ?,spray saaf 30 gm / 15 liters of water (carbendazim 12% + mancozeb 63% wp ) upl
market information,farmer asked about market rate of ?,market rate of = ??????: ??????? ??. ????? ????????????????/????????????????? ??? ????????? ????? ???????????? ??19/01/2019?????????---???????96551501000500???????? - ?????---???????4495001000800????? - ????? ????? ???????---???????17500400900650 rs/qtl
nutrient management,farmer asked about flowering issue -mango ?,spray-12:61:00-60 gram with tata bahaar-30 mili in 15 litres of water.
,farmer asked about fertilizer spray for mango,spray potassium nitrate 13 00 45 100 gm /15 liters of water
"	plant protection	",farmer asked about planting time of onion ?,planting time of onion :-  october to nopvermber seedlimng and transplantin in  dec jan
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
soil health card,told about soil testing & soil health card,"kvk, junnar , pune - 7028779777"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about sms activation?,to start sms service please type sms kisaan1 and send it to 7738299899att
market information,farmer asking about market rate of onion ?,market rate of  onion - 500 rs/qtl
government schemes,asked about date of agriculture exhibition  baramati  ?,date of agriculture exhibition  baramati: 17 th january to 20 january  2019
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about kisan credit card ?,for more detail about kisan credit card please visit your nearer nationalized bank
"	plant protection	",attack of jassids/leaf hoppers?,spray actra 5 gm /15 liter of water.
"	plant protection	",asking about attack of thrips  on wheat ?,spray roger 15 ml/15 liter of water(dimethoate)-cheminova
fertilizer use and availability,fertilizer spray for growth ?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
organic farming,preparation of jivamrut ?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
market information,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,asked about preparation of jivamrut?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer.
market information,farmer asked about market rate of  onion  ?,market rate of onion   100 -500 - rs/qtl
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
fertilizer use and availability,fertiliser dose for sugarcane?,apply 1 bag urea + 1 bag ssp + 1 bag mop + 10 kg magnesium suphate +   10 kg zinc sulphate +  10 kg feras sulphate + 5 kg boran + 25 kg neem cake + humic acid 3  kg/acre
nutrient management,farmer asked about fertilizer dose for sugarcane ?,application of 10:26:26- 2 bags + urea- 2 bags +ferous sulphate- 10 kg +zinc sulphate -8 kg + manganese sulphate- 10 kg + borax- 2 kg + sulphur- 24 kg mixed with cowdung + humic acid- 5 kg + nimboli pend -40 kg/ acre
vegetative propagation and tissue culture,farmer asked about varieties of papaya ?,"varieties of papaya  :- taiwan 786, washington, pusa jaint, pusa majesti, selection 1 - 6 ."
"	plant protection	",asked about mango inflorescence protection ?,after 15 days  actra 1 gm after 15 days rogor 10 ml or karate 6 ml/ 10 liter water.
"	plant protection	",attack of white grub ?,drenching of hamla 550 500 ml / 200 liters of water / acre through drip
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899/51969.
market information,asked about market rate of onion ?,21/01/2019 mandi  : pune commodity : onion(modal price): 600 /quintal...
weather,asking about weather forecast ?,"according to the meteorological department, this week the atmosphere will be partly cloudy and there is no possibility of rainfall.today's temperature is -16 degrees celsius and maximum - 29 degrees celsius, humidity -50 percent"
"	plant protection	",asked about attack of white grub in sugarcane,for control of white grub - humnasur 6 kg/acre(patil biotech)
"	plant protection	",attack of aphids ?,bio 303 - 15  ml / 15 liters of water daman
seeds and planting material,varieties of cluster bean ?,varieties of cluster bean -nandini namrata pusa sadabahar
nutrient management,asked about fertilizer dose for coriander ?,fertilizer dose for coriander- spray 19 19 19 40 gm + microlla 30 ml + humic acid 30 ml /15 liters of water
seeds and planting material,farmer asking about  varieties of tomato ?,varieties of tomato -pusa rubi pusa shital arka gaurav roma rupali vaishali  bhagyashree jkth-811 jk -akshay krishna avinash-2
nutrient management,fertilizer dose for sugarcane ?,application of 18 46 00 100 kg + mop 100 kg + nimboli pend 50 kg + sulphur 3 kg +micro nutrients 3 kg + zinc sulphate 3 kg + ferous sulphate 3 kg/ acre at time of planting
nutrient management,fertilizer dose for sugarcane ratoon sugarcane ?,application of urea 108 kg +ssp 150 kg +mop 40 kg / acre
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
varieties,maize variety,"varieties of maize crops:a) hybrid varieties: deccan-1o3, 1o5, ganga-11, trishulata, j.k. 24 9 2, pro310,311,312, bio-9 681, sidtek-234, kh-451, bio-9 637, hqpm-5, sartaj, rajarshi, h.q.pm- 7b) composite varieties: african toll, cats, kiran, panchganga, karveer"
weed management,weed management ?,"inter-cultivationif the ants are found after sowing, they should be immediately filled with b at the interval of 10 to 12 days, 2 to 3 collars and 2 scraps should be given. the final hiker should be given a bit depth, so that the soil gets the fill of the crop. do not start intermittent when starting to go to the ground floor of groundnut. pendimethylin 1.00 kg after immediately after sowing to manage efficient weeds in groundnut. it should be sprayed in 500 liters of water per hectare. similarly, after 20-25 days for weeding of weeds, 10 percent of sll 0.075 kg on immazay. yes / hey (750 ml of merchandise / ha) give it in 500 liters of water"
fertilizer use and availability,fertilizer dose for sugarcane ratoon sugarcane ?,application of urea 108 kg +ssp 150 kg +mop 40 kg / acre
weed management,asked about weed management in groundnut ?,spray pursuit (imazethapyr) 20 ml /10 liter of water 21 days after sowing
government schemes,asking about pradhanmantri rabbi crop insurance scheme ?,last date for pradhanmantri rabbi crop insurance scheme -31/12/2016
nutrient management,drenching,by drenching  19:19:19 3 kg + microlla  300 ml + humic acid 300 ml
market information,farmer asked about market rate of onion ?,solapur market rate of onion  =100 - 1200   rs/qtl
government schemes,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
seeds and planting material,asked about varieties of bhendi ?,varieties of bhendi -phule utkarsha parbhani kranti arka anamika arka abhay mahyco -64 shan sahiba
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances during this weektemp -min.-22 degree and max.- 40
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,farmer asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast?,this week weather is mostly clear temp -min.-16 degree and max.- 29
"	plant protection	",asked about attack of blight on brinjal ?,spray m-45 30 gm /15 liter water.(mancozeb) indofil
"	field preparation	",rust attack ?,spray m-45 30 gm /15 liter water.(mancozeb 75% wp). indofil
varieties,varieties of bhendi ?,varieties of bhendi -phule utkarsha parbhani kranti arka anamika arka abhay
varieties,"asking about the kvk, baramati","agricultural service in malegaon khurd, maharashtraaddress: at post:malegaon khurd, tal.baramati dist.pune, pune, maharashtra 413115hours: open · closes 5pmphone: 02112 255 227"
government schemes,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asking about detail information about fisheries?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asked about contact no of fishery department ?,contact no of fishery department-???-????????
"	plant protection	",weed management in wheat ?,spray allgrip (metsulfuron methyl 20% wg)8 gm /acre 25-35 days after sowing (dupont india)
government schemes,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
fertilizer use and availability,fertilizer dose for sugarcane ?,application of 10 26 26 2 bag + urea 2 bag + micro nutrients 10 kg + humic acid 5 kg + nimboli pend 40 kg/ acre
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week-
cultural practices,tell me planting  time of aonla,planting time of anola - july - august
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
seeds and planting material,varieties of cluster bean ?,varieties of cluster bean -nandini namrata pusa sadabahar
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
"	plant protection	",asked about attack of caterpillar on brinjal ?,attack of caterpillar on brinjal : spray clasic 20 10ml/15 lit of water.( chlorpyriphos 20% ec )cheminova
"	plant protection	",asked about attack of caterpillar on brinjal ?,attack of caterpillar on brinjal : spray clasic 20 10ml/15 lit of water.( chlorpyriphos 20% ec )cheminova
vegetative propagation and tissue culture,varieties of cluster bean ?,varieties of cluster bean -nandini namrata pusa sadabahar
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast ?,"weather forecast - in the coming week there will be partly cloudy atmosphere, lighter  possibility  of rain."
"	plant protection	",farmer asked about control of attack of stem fly on bean?,spray profex super 30 ml  /15 liter water.( profenofos 40% +cypermethrin 4%) .
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast ?,this week weather is cloudy and no rainfall chances .
weather,asking about weather forecast?,this week weather is cloudy and no  rainfall chances during this week
seeds,asked about seed treatment in sugarcane,"the use of a healthy, sedentary and genetically corrected harvester of 10 to 11 months of age has increased by 15 to 20 percent in sugarcane cultivation. 100 liters of water + 300 ml before that irrigation after processing the sieve for 10 minutes of bacteriophage of 100 gm bahisthen, bacterial seeds should be processed. this causes fungal diseases and pest management. due to the absorption of acetobacter and phosphorous dissolving bacterial fertilizers in 10 kg and 1.25 kg per 100 liters of water, immerse the sugarcane tips for 30 minutes. this can save up to 50% in the label and 25% in phosphorus fertilizers."
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances
market information,asking about market rate onion ?,"market rate of -onion minimum-100  ,maximum-700 ,average-400 rupees/qtl"
"	plant protection	",attack of white grub on brinjal ?,???? ??? ?? ???? / ?? ???? ????????? ????? ??????  (?????????????? ??%ec + ???????????? ?%)
organic farming,preparation of jivamrut ?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
market information,asked about market rate of pomegranate ?,market rate of pomegranate -1500-8000 rs /qtl
market information,farmer asked about market rate of corrot ?,market rate of carrot  -1000  rs/qtl
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,farmer asked about neemark doses ?,neemark doses -spray neemark 30 ml/15 liter water.
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asking about contact number for pradhanmantri crop insurance scheme ?,contact number for pradhanmantri crop insurance scheme -1800 2660 700 call on this number before 48 hours
weather,asking about weather forecast ?,this week weather is cloudy and light possibility of rainfall
fertilizer use and availability,farmer asked about fertilizer spray for growth on onion?,fertilizer spray for growth on onion-spray 12 61 00 60 gm + microlla  30 ml /15 liters of water
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
government schemes,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
fish  marketing,asking about detail information about fisheries ?,"maharashtra animal and fishery sciences university, nagpur -0712 2511784"
government schemes,asked about bharti axa general insurance toll free number ?,1800-103-2292 bharti axa general insurance toll free number
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
"	plant protection	",asking about control of blight attack ? ????  ??? ????????,spray tilt 2.5 ml/15 lit of water. (propiconazole 250 ec) syngenta)
cultural practices,weed management in onion  ?,spray goal 20 ml / 15 liters of water 21 days after transplanting
nutrient management,asking about flower drop in mango?,spray planofix 4 ml(bayer)  or kaltar /15 liter water
cultural practices,attack of aphids ?,bio 303 - 22 ml / 15 liters of water daman
weather,asking about weather forecast ?,weather is cloudy and no rainfall chances during this week .
weather,asking about weather forecast?,"today  weather is cloudy, no possibility of light rainfall."
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
"	plant protection	",asked about attack of caterpilar on french bean ?,drenching of chloropyriphos 40 ml / 15 lit of water.
organic farming,preparation of bijamrut?,for preparation of bijamrut use 1 kg cow dung + 1 liter cow urine + 100 ml milkcurd + 50 gm lime+ soil  500 gm+ tricoderma viridi 100 gm
"	plant protection	",attack of leaf eating caterpillar ?,spray proclaim 5 gm/15lit of water. (emamectin benzoate 5% sg)-syngenta
"	plant protection	",attack of leaf eating caterpillar ?,spray chloropyriphos 30 ml/15 lit of water.
government schemes,asking about government scheme?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast?,this week weather is mostly clear
credit,farmer complaint  about subsidy of nhb?,we are suggest to farmer visit to nhb office and meet to agriculture commissioner
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer or district agriculture officer .
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week-
weather,farmer asked about weather forecast ?,todays weather is cloudy and possibility of light   rainfall chances
weather,asking about weather forecast?,this week weather is mostly cloudy and no possibility of rainfall
weather,asking about weather  forecast ?,this week weather is cloudy and possibility  light rainfall
"	plant protection	",asked about sucking pest attack on onion ?,sucking pest attack on onion- spray actra 5 gm/15 liter of water(thiomithoxom 25%)
weather,asking about weather forecast?,this week weather is cloudy and  rainfall chances during this week-
market information,asked about phone no.of banana research center jalgaov ?,banana research center jalgaov- ????-???????
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
weather,asking about weather forecast?,this week weather is cloudy and no rainfall chances during this week.
weather,asking about weather forecast?,weather is partially cloudy and no possibility of rainfall.
"	plant protection	",asked about attack of gram pod borer ?,spray missile 7 gm/15 liter water (emamectin benzoate 5% sg)- crystal crop protection
"water management, micro irrigation",farmer asked about water management in pumkin ?,"water management - in addition to other vegetables, while the vulnerable crops need less water, it is necessary to give regular water to get economically scarce product. water should be given at a gap of 10 to 12 days in kharif season, and the crop planted during the summer season should be given 6 to 9 days intervals."
,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngentaspray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngentaspray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngentaspray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
,attack of aphids ?,spray actra 5 gm/15 liter of water(thiomithoxom 25%)-syngentaspray karate 20 ml/15 liters of water (lambdacyhalothrin ) syngenta
seeds and planting material,farmer asked about varieties of tomato ?,varieties of tomato -pusa rubi pusa shital arka gaurav roma rupali vaishali  bhagyashree jkth-811 jk -akshay
weather,asking about weather forecast?,this week weather partly cloudy and no  possibility of rainfall.
vegetative propagation and tissue culture,varieties of papaya ?,varieties of papaya -taiwan -786 washington co-1 co- 2 co- 4 pusa majesty
weather,asking about weather forecast?,this week weather partly cloudy and no  possibility of rainfall.
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
weather,asking about weather forecast?,this week weather is cloudy and light possibility of rainfall
government schemes,asked about sms activation?,your registration process successfully completed.for kisan msg  -type''kisaan1'' msg  and send on (7738299899) this number
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast?,this week weather is mostly clear
"	plant protection	",asked about attack of wooly aphids on sugarcane ?,lancer gold 51.8 sp 30 gm /15 liters of water -(acephate 50 + imidacloprid 1.8 sp) upl
government schemes,asked about sms activation?,your sms registration process successfully completed.
organic farming,preparation of jivamrut ?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary +2 kg soil / 200 liter water skake well morning and evening till 4 -6 days.
"	plant protection	",asking about the white grub attack on brinjal ?,the white grub attack on brinjal-drenching of chloropyriphos 40 ml / 15 lit of water.
"	plant protection	",asking about the white grub attack on brinjal ?,the white grub attack on brinjal-drenching of chloropyriphos 40 ml / 15 lit of water.
weather,farmer asked  about weather forecast?,this week weather is cloudy  and possibility of light  rainfall
"	plant protection	",fertilizer spray for growth ?,spray 19 19 19 60  gm + microlla 40  ml + bavistin  30 gram  /15 liters of water
"	plant protection	",attack of fruit borer on sapota  ?,control of attack of fruit borer on sapota-decis 100-4 ml/15 liter water.( deltamethrin 100  % ec).
fertilizer use and availability,fertiliser dose for orange ?,n:p:k:600:400:400 gm/plant
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
integrated farming,asking contact no of animal husbandary department?,contact no of animal husbandary department = 1800 233 0418
"	plant protection	",farmer ask about drenching in pomegranet?,drenching in pomegranet-drainching of blue copper 30 gm + humic acid 30 ml/15 liter water.
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899
field preparation,varieties of bhendi ?,varieties of bhendi -phule utkarsha parbhani kranti arka anamika arka abhay
"	plant protection	",asked about fungal spray for  onion ?,spray ridomil gold 30 gm + microlla 30 ml in 15 litre of water
market information,farmer asked about market rate of onion ?,market rate of onion- pune-200-650 rs /qt
government schemes,contact of fertilizer shop in market yard?,sheti udyog bhandar 9422003197
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
government schemes,asked about sms activation?,to start sms service please type sms  kisaan1 and send it to 7738299899
organic farming,farmer  asked  chillies varities   used in field   >?,"chilli   varities  hph  1900 , volacana   used   in crop"
government schemes,asked aboput central fruit research centre ganeshkhind pune contact number?,central fruit research centre ganeshkhind pune contact number 020 243 261
market information,farmer  asking about market rate of onion  in pune market?,"market rate of onion  in pune market - minimum- 200 rupees/qtl  , maximum-650  rupees/qtl  ,    average - 400rupees/qtl"
market information,farmer asked about market rate of curry leave ?,market rate of curry leaves  - 1750 rs/qtl
government schemes,asking about government scheme ?,for detail information about government scheme  please visit your taluka agriculture officer
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
fertilizer use and availability,fertilizer spray on onion ?,spray 00 00 50  60 gm /15 lit of water.
,farmer ask about fertilizer spray for growth of onion?,fertilizer spray for growth of onion-spray 19 19 19-60 gm + microlla 30 ml /15 liters of water.
organic farming,asked about preparation of jivamrut ?,for preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.
spices and condiment crops,fertilizer spray for growth  corinder?,spray 19 19 19 40 gm + microlla 30 ml /15 liters of water
government schemes,asked about  pune agriculture college contact number ?,pune agriculture college contact number  - 020 2553 8489
weather,asking about weather forecast?,this week weather is mostly clear and no possibility of rainfall
training and exposure visits,asking about mushroom project ?,mushroom project agriculture college pune -020 25537033 /038
fertilizer use and availability,asked about fertilizer dose for pomegranate ?,fertilizer dose for pomegranate=calcium 500 gm+boron 500 gm/acer through drip
seeds and planting material,farmer asked about  seed processing of drumstick ?,"seed treatment of drumstick- seed processing - before planting, sowing seed carbendenzim (1 g) of fungicide should be dipped after 24 hours."
